연도,구 분,총 계,소계,해킹,DDoS,악성프로그램,기타,소계,사이버사기,사이버금융범죄,개인위치정보침해,사이버저작권침해,기타,소계,사이버성폭력,사이버도박,사이버명예훼손모욕,기타
2018,발생,"149,604","2,888","2,178",20,119,571,"123,677","112,000","5,621",246,"3,856","1,954","23,039","3,833","3,012","15,926",268
2018,검거,"112,133",902,584,14,50,254,"93,926","87,714","2,353",142,"2,467","1,250","17,305","3,282","2,947","10,889",187
2019,발생,"180,499","3,638","2,664",35,270,669,"151,916","136,074","10,542",179,"2,562","2,559","24,945","2,690","5,346","16,633",276
2019,검거,"132,559","1,007",556,14,189,248,"112,398","105,651","3,387",78,"1,772","1,510","19,154","2,164","5,162","11,632",196
2020,발생,"234,098","4,344","3,176",25,169,974,"199,594","174,328","20,248",241,"2,183","2,594","30,160","4,831","5,692","19,388",249
2020,검거,"157,909",911,548,10,81,272,"134,696","127,233","4,621",95,"1,493","1,254","22,302","4,063","5,436","12,638",165
2021,발생,"217,807","3,845","2,839",14,157,835,"174,648","141,154","28,123",217,"2,423","2,767","39,278","4,349","5,505","28,988",436
2021,검거,"138,710","1,254",941,6,65,242,"111,172","101,950","6,390",76,"1,493","1,263","26,284","3,504","5,216","17,243",321
2022,발생,"230,355","3,494","2,396",30,185,883,"190,958","155,715","28,546",247,"3,302","3,148","35,903","3,201","2,997","29,258",447
2022,검거,"143,885",729,397,7,44,281,"119,473","109,250","6,729",113,"1,815","1,566","23,683","2,335","2,838","18,242",268
