,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
구 분,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
총 계,149604,112133,180499,132559,234098,157909,217807,138710,230355,143885
소계,2888,902,3638,1007,4344,911,3845,1254,3494,729
해킹,2178,584,2664,556,3176,548,2839,941,2396,397
DDoS,20,14,35,14,25,10,14,6,30,7
악성프로그램,119,50,270,189,169,81,157,65,185,44
기타,571,254,669,248,974,272,835,242,883,281
소계.1,123677,93926,151916,112398,199594,134696,174648,111172,190958,119473
사이버사기,112000,87714,136074,105651,174328,127233,141154,101950,155715,109250
사이버금융범죄,5621,2353,10542,3387,20248,4621,28123,6390,28546,6729
개인위치정보침해,246,142,179,78,241,95,217,76,247,113
사이버저작권침해,3856,2467,2562,1772,2183,1493,2423,1493,3302,1815
기타.1,1954,1250,2559,1510,2594,1254,2767,1263,3148,1566
소계.2,23039,17305,24945,19154,30160,22302,39278,26284,35903,23683
사이버성폭력,3833,3282,2690,2164,4831,4063,4349,3504,3201,2335
사이버도박,3012,2947,5346,5162,5692,5436,5505,5216,2997,2838
사이버명예훼손모욕,15926,10889,16633,11632,19388,12638,28988,17243,29258,18242
기타.2,268,187,276,196,249,165,436,321,447,268
