죄종별,항목,2018 년,2019 년,2020 년,2021 년,2022 년
총계,발생건수[건],1580751,1611906,1587866,1429826,1482433
총계,검거건수[건],1328609,1342854,1289129,1136665,1133788
총계,발생건수 대비 검거건수[%],84,83.3,81.2,79.5,76.5
총계,검거인원[명],1728602,1749015,1684367,1360405,1357038
총계,남자검거인원[명],1286156,1273899,1212094,1002380,1010855
총계,여자검거인원[명],329007,347112,329160,278825,278604
총계,불상검거인원[명],113439,128004,143113,79200,67579
총계,법인체[개],12302,12620,11983,10317,11610
강력범죄,발생건수[건],26787,26476,24332,22476,24954
강력범죄,검거건수[건],25811,25507,23556,21294,23521
강력범죄,발생건수 대비 검거건수[%],96.4,96.3,96.8,94.7,94.3
강력범죄,검거인원[명],28859,29462,27491,23305,25420
강력범죄,남자검거인원[명],27339,27833,25862,22074,24109
강력범죄,여자검거인원[명],1196,1333,1359,1095,1117
강력범죄,불상검거인원[명],324,296,270,136,194
강력범죄,법인체[개],-,2,3,1,-
살인기수,발생건수[건],309,297,308,270,275
살인기수,검거건수[건],298,299,299,261,265
살인기수,발생건수 대비 검거건수[%],96.4,100.7,97.1,96.7,96.4
살인기수,검거인원[명],358,362,349,321,308
살인기수,남자검거인원[명],289,265,258,234,222
살인기수,여자검거인원[명],67,82,85,83,77
살인기수,불상검거인원[명],2,15,6,4,9
살인기수,법인체[개],-,-,-,1,-
살인,발생건수[건],226,225,252,204,207
살인,검거건수[건],217,226,245,196,197
살인,발생건수 대비 검거건수[%],96,100.4,97.2,96.1,95.2
살인,검거인원[명],269,257,284,245,218
살인,남자검거인원[명],218,206,213,187,170
살인,여자검거인원[명],49,48,65,54,39
살인,불상검거인원[명],2,3,6,4,9
살인,법인체[개],-,-,-,1,-
영아살해,발생건수[건],7,7,5,5,6
영아살해,검거건수[건],7,7,5,5,6
영아살해,발생건수 대비 검거건수[%],100,100,100,100,100
영아살해,검거인원[명],6,7,6,5,10
영아살해,남자검거인원[명],-,-,1,-,2
영아살해,여자검거인원[명],6,7,5,5,8
영아살해,불상검거인원[명],-,-,-,-,-
영아살해,법인체[개],-,-,-,-,-
존속살해,발생건수[건],44,35,28,26,32
존속살해,검거건수[건],43,36,27,27,31
존속살해,발생건수 대비 검거건수[%],97.7,102.9,96.4,103.8,96.9
존속살해,검거인원[명],46,45,35,27,46
존속살해,남자검거인원[명],43,28,27,24,32
존속살해,여자검거인원[명],3,10,8,3,14
존속살해,불상검거인원[명],-,7,-,-,-
존속살해,법인체[개],-,-,-,-,-
촉탁·승낙살인,발생건수[건],1,1,1,2,2
촉탁·승낙살인,검거건수[건],1,1,1,1,2
촉탁·승낙살인,발생건수 대비 검거건수[%],100,100,100,50,100
촉탁·승낙살인,검거인원[명],1,1,1,9,2
촉탁·승낙살인,남자검거인원[명],1,1,1,5,2
촉탁·승낙살인,여자검거인원[명],-,-,-,4,-
촉탁·승낙살인,불상검거인원[명],-,-,-,-,-
촉탁·승낙살인,법인체[개],-,-,-,-,-
자살교사·방조,발생건수[건],30,26,19,25,18
자살교사·방조,검거건수[건],29,26,18,24,19
자살교사·방조,발생건수 대비 검거건수[%],96.7,100,94.7,96,105.6
자살교사·방조,검거인원[명],35,47,20,26,21
자살교사·방조,남자검거인원[명],26,26,13,12,11
자살교사·방조,여자검거인원[명],9,16,7,14,10
자살교사·방조,불상검거인원[명],-,5,-,-,-
자살교사·방조,법인체[개],-,-,-,-,-
위계·위력·촉탁·승낙살인,발생건수[건],-,1,-,-,-
위계·위력·촉탁·승낙살인,검거건수[건],-,1,-,-,-
위계·위력·촉탁·승낙살인,발생건수 대비 검거건수[%],-,100,-,-,-
위계·위력·촉탁·승낙살인,검거인원[명],-,1,-,-,-
위계·위력·촉탁·승낙살인,남자검거인원[명],-,-,-,-,-
위계·위력·촉탁·승낙살인,여자검거인원[명],-,1,-,-,-
위계·위력·촉탁·승낙살인,불상검거인원[명],-,-,-,-,-
위계·위력·촉탁·승낙살인,법인체[개],-,-,-,-,-
특가법(보복살인등),발생건수[건],1,2,3,3,3
특가법(보복살인등),검거건수[건],1,2,3,3,3
특가법(보복살인등),발생건수 대비 검거건수[%],100,100,100,100,100
특가법(보복살인등),검거인원[명],1,4,3,4,3
특가법(보복살인등),남자검거인원[명],1,4,3,4,3
특가법(보복살인등),여자검거인원[명],-,-,-,-,-
특가법(보복살인등),불상검거인원[명],-,-,-,-,-
특가법(보복살인등),법인체[개],-,-,-,-,-
아동학대처벌법(아동학대살해),발생건수[건],,,,5,7
아동학대처벌법(아동학대살해),검거건수[건],,,,5,7
